lat,long,petrol,diesel,state
11.6625,92.7326,91.75,91.62,AN
11.7401,92.6586,91.75,91.62,AN
11.6211,92.669,91.75,91.62,AN
11.668,92.7384,91.75,91.62,AN
11.6685,92.7387,91.75,91.62,AN
11.6213,92.7168,91.75,91.62,AN
12.5042,92.9437,91.75,91.62,AN
13.2577,92.9873,91.75,91.62,AN
11.6968,92.7119,91.75,91.62,AN
11.645724,92.731051,91.75,91.62,AN
12.872827,92.875317,91.75,91.62,AN
12.008853,92.97162,91.75,91.62,AN
11.831935,93.030909,91.75,91.62,AN
11.604053,92.694109,91.75,91.62,AN
12.034186,92.992718,91.75,91.62,AN
16.462971,81.815678,116.33,108.94,AP
16.497249,81.884413,116.27,108.89,AP
16.424079,81.652103,116.33,108.94,AP
16.9862,82.2401,116.59,109.15,AP
16.544371,81.516148,116.37,108.98,AP
16.583342,82.016284,116.08,108.71,AP
16.875024,81.928834,115.72,108.37,AP
16.909452,81.673475,115.76,108.41,AP
16.709374,81.103112,116.52,109.11,AP
16.483774,81.847519,116.27,108.89,AP
16.806479,81.536797,116.23,108.85,AP
17.13089187,81.66042996,115.67,108.33,AP
16.519775,81.701045,116.19,108.82,AP
16.958649,82.008733,115.51,108.18,AP
16.8311,81.9984,115.72,108.38,AP
16.909452,81.673475,115.43,108.1,AP
17.01897,81.651688,115.55,108.22,AP
16.487661,81.71251,116.23,108.85,AP
16.795658,81.89384,115.71,108.36,AP
16.579199,81.366211,116.56,109.16,AP
16.547083,81.539234,116.37,108.98,AP
16.44375,81.701977,116.27,108.89,AP
16.714514,81.54136,116.36,108.97,AP
16.546811,81.515855,116.37,108.98,AP
16.633877,81.740375,115.94,108.58,AP
16.77768,81.934661,115.79,108.44,AP
16.997034,81.800637,115.34,108.02,AP
16.761944,81.84235,115.72,108.38,AP
17.121429,81.2955,116.21,108.83,AP
17.063851,80.982883,116.49,109.09,AP
16.820262,81.402408,116.36,108.97,AP
17.012092,81.782297,115.34,108.02,AP
16.908109,81.00135,116.58,109.18,AP
16.913495,82.005006,115.57,108.24,AP
16.936237,82.071975,115.63,108.29,AP
16.638604,82.098261,116.23,108.85,AP
17.128496,81.423395,116.03,108.67,AP
16.993033,81.776611,115.34,108.02,AP
16.708679,81.825818,115.75,108.4,AP
16.870816,81.815772,115.55,108.22,AP
16.863209,81.922534,115.72,108.37,AP
16.797456,81.595662,116.17,108.79,AP
16.600187,81.641433,116.23,108.85,AP
17.089,82.3449,116.34,108.91,AP
17.7088,83.2938,114.79,107.48,AP
18.7809,83.4311,116.31,108.89,AP
18.6749,83.949,116.4,108.98,AP
17.741,83.3279,114.79,107.48,AP
18.9843,84.5859,117.26,109.77,AP
17.7173,83.289,114.79,107.48,AP
17.3588,82.5409,115.78,108.4,AP
17.729,83.3275,114.79,107.48,AP
17.6809,82.9819,115.06,107.73,AP
18.2969,83.903,115.95,108.55,AP
17.8273,82.9336,115.31,107.96,AP
17.1101,82.2549,116.25,108.83,AP
17.013412,81.778188,115.34,108.02,AP
18.112942,83.13886,115.2,107.86,AP
18.763,84.4257,116.87,109.41,AP
18.1072,83.3973,115.45,108.09,AP
17.8034,83.1405,114.95,107.63,AP
17.3625,82.5516,115.73,108.35,AP
17.2041,82.1833,116.24,108.83,AP
16.762092,81.843671,115.72,108.38,AP
17.6888,83.0273,115.06,107.73,AP
17.7718,83.2165,114.83,107.51,AP
17.6626,82.6182,115.64,108.27,AP
17.0467,82.1799,116.42,108.99,AP
17.9552,83.4175,115.17,107.83,AP
17.080927,82.128613,115.53,108.2,AP
17.035403,81.563676,115.62,108.29,AP
18.2661,83.3366,115.64,108.27,AP
17.7432,83.2355,114.79,107.48,AP
17.40277,83.00136,115.06,107.73,AP
17.6874,83.2556,114.79,107.48,AP
17.9642,83.4269,115.2,107.86,AP
17.282198,82.106408,116.33,108.91,AP
17.6607,83.1677,114.83,107.51,AP
18.1252,83.4204,115.45,108.09,AP
18.32,82.8838,115.89,108.5,AP
17.6845,83.2021,114.79,107.48,AP
17.7416,83.264,114.79,107.48,AP
17.0287,82.2488,116.34,108.91,AP
17.8267,83.3577,114.95,107.63,AP
18.8645,84.5098,117.06,109.58,AP
15.689179,80.01507,115.28,107.96,AP
16.548,80.817,115.86,108.52,AP
15.8244,80.1902,115.46,108.13,AP
15.6358,80.1093,115.2,107.89,AP
16.177892,80.33029,116.25,108.89,AP
15.7274,79.2935,116.07,108.7,AP
14.48810167,78.81360167,115.01,107.71,AP
16.246949,80.027155,116.11,108.74,AP
15.748,79.2758,116.07,108.7,AP
14.753327,78.555047,115.46,108.13,AP
15.51,80.0467,115.08,107.78,AP
16.541749,80.581291,115.42,108.12,AP
16.5111,80.7322,115.69,108.36,AP
16.405758,80.553996,115.82,108.49,AP
15.8387,80.3592,115.69,108.35,AP
14.582024,78.658842,115.29,107.97,AP
14.9985919,78.9907581,115.76,108.41,AP
16.102116,80.169357,116.03,108.66,AP
16.786972,80.851936,115.7,108.37,AP
16.343069,80.627474,115.99,108.65,AP
15.4719,80.0487,115.08,107.78,AP
17.03052,80.710639,115.91,108.57,AP
